2: 187, 993, 997, 1001, 72 
3: 7011, 7012, 3506, 7010, 3862 
4: 59, 1001, 511, 227, 65 
5: 429, 424, 229, 190, 227 
6: 11066, 11062, 11076, 11078, 257 
7: 701, 466, 349, 89, 289 
8: 701, 55, 302, 466, 295 
9: 5081, 2806, 1906, 2106, 1904 
10: 217, 190, 1090, 227, 207 
11: 257, 701, 67, 461, 333 
12: 295, 461, 292, 289, 89 
13: 701, 306, 89, 289, 288 
14: 8811, 8813, 8804, 8809, 8806 
15: 206, 441, 199, 418, 227 
16: 295, 466, 292, 289, 288 
17: 302, 679, 295, 461, 333 
18: 154, 959, 1249, 1412, 234 
20: 2673, 2668, 2671, 2670, 772 
21: 291, 333, 349, 89, 295 
22: 809, 2382, 2384, 839, 2379 
23: 190, 1412, 441, 599, 154 
24: 466, 306, 701, 288, 292 
25: 306, 299, 300, 349, 292 
26: 1369, 706, 1360, 843, 1358 
27: 292, 288, 289, 55, 89 
28: 1892, 98, 187, 2937, 993 
29: 325, 701, 306, 295, 333 
30: 291, 701, 292, 466, 289 
31: 89, 75, 187, 51, 1001 
32: 424, 65, 229, 533, 207 
33: 226, 707, 154, 854, 163 
34: 159, 429, 190, 227, 154 
35: 188, 1131, 12981, 12982, 152 
36: 1672, 486, 1853, 687, 498 
37: 154, 3448, 3433, 2481, 159 
38: 461, 65, 295, 292, 289 
39: 3, 28, 1214, 2765, 12 
40: 4871, 4877, 44, 1328, 1323 
41: 3476, 2838, 918, 841, 1527 
42: 207, 67, 292, 300, 229 
43: 228, 432, 173, 89, 154 
44: 959, 154, 212, 917, 1372 
45: 67, 299, 466, 292, 289 
46: 67, 257, 461, 295, 289 
47: 349, 306, 295, 89, 288 
48: 466, 701, 333, 295, 292 
49: 306, 466, 300, 295, 292 
50: 1048, 203, 225, 190, 154 
51: 1531, 843, 707, 954, 841 
52: 8299, 8300, 8296, 8295, 8297 
53: 701, 67, 466, 89, 295 
54: 701, 302, 300, 89, 295 
55: 4585, 1952, 2252, 267, 14226 
56: 65, 533, 229, 154, 227 
57: 701, 325, 302, 306, 461 
58: 306, 701, 333, 461, 292 
59: 234, 7, 198, 173, 154 
60: 15760, 444, 454, 154, 237 
61: 9701, 9702, 9699, 227, 154 
62: 1061, 227, 229, 511, 159 
63: 1372, 1360, 234, 1249, 1369 
64: 10131, 10128, 6699, 10130, 10142 
65: 493, 488, 500, 779, 486 
66: 1014, 193, 999, 998, 1027 
68: 291, 333, 461, 55, 302 
69: 154, 10552, 10556, 1959, 1627 
70: 226, 424, 234, 154, 227 
71: 937, 942, 928, 841, 1358 
72: 299, 701, 349, 288, 289 
73: 187, 1014, 59, 997, 72 
74: 89, 289, 292, 300, 288 
75: 325, 349, 302, 461, 306 
76: 2808, 1922, 3324, 1906, 5089 
77: 228, 65, 190, 154, 207 
78: 4854, 4856, 2156, 2173, 772 
79: 302, 333, 295, 300, 288 
80: 4948, 4168, 1853, 1557, 815 
81: 6620, 6619, 6621, 2916, 6618 
82: 615, 196, 199, 3693, 154 
83: 13498, 6960, 6951, 6952, 2300 
84: 234, 841, 732, 1372, 707 
85: 917, 154, 234, 198, 707 
86: 805, 816, 500, 503, 815 
87: 306, 257, 299, 89, 295 
88: 418, 434, 618, 227, 217 
89: 292, 466, 288, 300, 333 
90: 3583, 3590, 3588, 3593, 3585 
91: 1202, 10164, 2470, 3443, 3508 
92: 349, 333, 461, 701, 292 
94: 229, 227, 203, 225, 441 
95: 325, 299, 466, 89, 289 
96: 55, 157, 292, 295, 89 
97: 227, 217, 228, 229, 424 
98: 291, 302, 461, 466, 306 
99: 225, 1090, 227, 207, 190 
100: 225, 533, 424, 207, 190 
101: 2959, 1246, 1185, 486, 230 
102: 7789, 11480, 163, 599, 154 
103: 234, 163, 511, 229, 173 
104: 288, 1246, 466, 333, 300 
105: 11208, 11128, 11209, 2146, 4865 
106: 2687, 2689, 2680, 2682, 2683 
107: 1369, 841, 1358, 1360, 917 
108: 8324, 8332, 1258, 28, 1276 
109: 724, 707, 1369, 4165, 706 
110: 701, 302, 461, 466, 89 
111: 1090, 424, 190, 227, 154 
113: 1412, 1358, 843, 706, 918 
114: 1415, 1358, 707, 917, 959 
115: 581, 11918, 2842, 11885, 8111 
116: 3357, 1959, 6900, 2930, 278 
117: 68, 993, 1027, 193, 187 
118: 1180, 978, 497, 1044, 500 
119: 4610, 1358, 2966, 843, 707 
120: 67, 306, 302, 466, 89 
121: 291, 349, 461, 466, 295 
122: 7789, 733, 11682, 11652, 227 
123: 823, 65, 190, 154, 207 
124: 227, 220, 377, 159, 234 
125: 190, 295, 300, 288, 289 
126: 498, 461, 295, 292, 289 
127: 377, 198, 706, 917, 707 
128: 173, 599, 190, 65, 154 
129: 306, 701, 291, 89, 295 
130: 291, 306, 302, 466, 292 
131: 9836, 9843, 3149, 9834, 9833 
132: 67, 325, 291, 306, 292 
133: 344, 55, 299, 333, 300 
134: 306, 461, 466, 300, 295 
135: 333, 461, 701, 295, 300 
136: 466, 701, 300, 295, 292 
137: 295, 288, 289, 67, 89 
139: 1854, 488, 497, 198, 377 
140: 429, 229, 217, 227, 154 
141: 65, 1412, 154, 959, 159 
142: 875, 7878, 997, 72, 159 
143: 67, 959, 157, 735, 163 
144: 291, 461, 302, 701, 466 
145: 461, 295, 89, 292, 289 
146: 55, 67, 257, 299, 349 
147: 466, 67, 300, 295, 89 
148: 16215, 18706, 4122, 11377, 6336 
149: 295, 292, 288, 333, 289 
150: 67, 701, 466, 300, 292 
151: 300, 288, 89, 333, 289 
152: 701, 306, 292, 288, 289 
153: 227, 920, 65, 152, 186 
154: 1044, 917, 1672, 498, 377 
155: 15515, 15516, 15513, 10794, 15514 
156: 173, 1090, 424, 228, 229 
157: 724, 707, 1803, 732, 917 
158: 461, 300, 292, 289, 288 
159: 300, 55, 89, 295, 289 
161: 2953, 2961, 810, 813, 2379 
162: 701, 466, 300, 292, 288 
163: 3600, 2437, 2453, 2443, 2449 
164: 982, 228, 229, 65, 227 
166: 229, 163, 3269, 599, 154 
168: 6910, 1961, 199, 418, 3693 
170: 1358, 1274, 1360, 846, 198 
171: 225, 199, 1090, 424, 227 
172: 65, 1090, 229, 207, 227 
173: 228, 65, 533, 1090, 229 
174: 154, 498, 533, 190, 227 
175: 3594, 3582, 2447, 3609, 2468 
176: 199, 190, 229, 207, 154 
177: 918, 920, 868, 1372, 707 
178: 841, 1113, 1369, 2962, 920 
179: 67, 344, 306, 302, 295 
180: 154, 1131, 12, 188, 2771 
181: 3056, 4906, 4901, 2743, 1784 
182: 67, 289, 300, 701, 89 
183: 173, 187, 51, 599, 227 
184: 229, 89, 1098, 227, 65 
185: 16601, 16602, 16599, 3922, 3916 
186: 295, 344, 461, 466, 89 
187: 997, 187, 1027, 51, 599 
189: 1672, 220, 497, 707, 190 
190: 55, 701, 89, 295, 288 
191: 173, 59, 1796, 1061, 153 
192: 15046, 15047, 15044, 4938, 8293 
193: 6580, 6584, 59, 65, 154 
194: 237, 53, 65, 190, 6756 
195: 1412, 562, 599, 225, 207 
196: 173, 228, 424, 190, 533 
198: 805, 810, 816, 2379, 815 
200: 735, 1369, 959, 163, 1412 
201: 300, 292, 288, 67, 289 
202: 706, 1527, 1360, 1358, 841 
203: 2204, 2210, 1853, 779, 816 
204: 13967, 13968, 8934, 4185, 10564 
205: 1541, 1876, 12412, 12413, 4173 
206: 1090, 228, 424, 190, 207 
207: 295, 292, 288, 300, 289 
208: 707, 12, 48, 954, 918 
209: 344, 701, 333, 466, 89 
210: 190, 55, 295, 292, 288 
211: 1090, 159, 207, 173, 227 
212: 953, 1358, 922, 918, 957 
213: 227, 815, 220, 517, 234 
214: 257, 299, 55, 333, 306 
215: 220, 234, 163, 1412, 227 
216: 154, 190, 65, 67, 173 
217: 15058, 1412, 1358, 1360, 917 
218: 154, 735, 234, 959, 190 
219: 540, 288, 289, 89, 498 
220: 217, 207, 424, 229, 227 
223: 257, 701, 466, 461, 89 
224: 98, 193, 1001, 599, 51 
225: 503, 843, 815, 809, 825 
226: 299, 291, 344, 349, 289 
227: 306, 333, 257, 701, 89 
228: 554, 211, 212, 12220, 8109 
229: 333, 300, 295, 288, 292 
230: 55, 299, 461, 701, 295 
231: 325, 291, 333, 55, 302 
232: 306, 701, 300, 89, 292 
233: 302, 701, 333, 295, 288 
234: 10396, 10392, 2916, 4585, 10399 
235: 841, 1113, 923, 2962, 918 
236: 461, 67, 302, 306, 466 
237: 173, 159, 199, 1090, 229 
238: 707, 15917, 559, 15916, 4681 
240: 291, 461, 295, 466, 300 
241: 1249, 1369, 918, 163, 917 
242: 55, 257, 333, 461, 292 
243: 701, 300, 289, 89, 67 
244: 295, 292, 288, 333, 289 
247: 15974, 15977, 3928, 4368, 10597 
248: 67, 325, 302, 299, 295 
249: 540, 497, 1185, 1672, 1853 
250: 1110, 917, 1372, 227, 163 
251: 424, 163, 234, 207, 227 
252: 679, 291, 306, 701, 295 
253: 257, 461, 302, 466, 300 
254: 7335, 7336, 4847, 6120, 4820 
255: 2670, 756, 2671, 744, 2146 
256: 299, 466, 67, 89, 288 
257: 1310, 1311, 1307, 1309, 1308 
258: 302, 333, 461, 295, 292 
259: 2820, 3833, 1796, 3840, 3830 
