13: 289, 72, 227, 89, 154, 163, 190, 51, 288, 917
17: 72, 227, 154, 67, 163, 190, 51, 173, 207, 679
34: 3, 4, 5, 6, 8, 11, 12, 13, 15, 18
38: 289, 72, 154, 67, 292, 163, 51, 173, 207, 707
58: 72, 227, 154, 498, 292, 163, 190, 51, 173, 917
60: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
66: 289, 227, 89, 154, 67, 498, 292, 163, 190, 344
77: 289, 72, 89, 154, 67, 498, 292, 163, 190, 288
89: 72, 227, 154, 67, 292, 163, 51, 288, 344, 917
91: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
142: 289, 72, 227, 89, 154, 67, 498, 292, 163, 288
129: 72, 227, 89, 154, 498, 163, 190, 51, 173, 917
132: 72, 227, 154, 67, 292, 163, 190, 51, 173, 917
134: 72, 227, 154, 498, 163, 190, 51, 173, 207, 679
150: 72, 154, 67, 498, 292, 163, 51, 173, 207, 679
161: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
190: 72, 227, 89, 154, 498, 163, 190, 51, 288, 173
193: 289, 227, 89, 154, 67, 498, 292, 51, 288, 173
220: 289, 72, 227, 89, 67, 292, 163, 190, 51, 344
218: 289, 72, 89, 154, 67, 498, 292, 190, 51, 344
248: 72, 227, 154, 67, 163, 190, 51, 344, 173, 917
242: 72, 227, 154, 498, 292, 163, 190, 51, 173, 917
274: 3, 4, 5, 6, 11, 12, 13, 15, 17, 20
277: 289, 72, 89, 67, 498, 292, 163, 190, 51, 344
257: 289, 227, 89, 154, 67, 498, 292, 163, 190, 288
260: 289, 72, 227, 154, 498, 163, 190, 51, 288, 173
267: 72, 227, 154, 67, 163, 190, 51, 344, 173, 917
269: 289, 72, 227, 89, 154, 67, 498, 292, 288, 173
315: 289, 72, 67, 498, 292, 163, 51, 288, 344, 707
318: 72, 227, 154, 67, 498, 292, 163, 190, 51, 344
289: 289, 72, 67, 292, 163, 51, 288, 344, 173, 917
292: 289, 72, 89, 67, 498, 292, 163, 190, 51, 344
320: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
376: 289, 72, 227, 89, 154, 67, 498, 292, 190, 288
359: 289, 227, 89, 154, 67, 498, 292, 163, 190, 288
365: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
362: 289, 72, 89, 154, 67, 292, 163, 190, 51, 344
415: 289, 72, 227, 154, 67, 163, 190, 51, 344, 207
405: 72, 227, 154, 498, 292, 163, 190, 51, 288, 173
426: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
428: 289, 227, 89, 154, 498, 292, 163, 190, 51, 344
473: 72, 227, 154, 67, 498, 163, 190, 51, 344, 207
468: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
467: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
451: 72, 227, 154, 67, 292, 163, 51, 173, 207, 707
450: 289, 72, 89, 154, 67, 498, 292, 190, 51, 344
504: 289, 72, 227, 154, 67, 498, 292, 190, 51, 207
490: 72, 227, 67, 292, 163, 190, 51, 288, 344, 917
487: 289, 72, 227, 89, 154, 67, 292, 163, 190, 288
481: 72, 227, 89, 163, 190, 51, 288, 344, 173, 917
548: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
544: 289, 72, 227, 89, 154, 67, 292, 163, 190, 288
558: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
567: 289, 72, 89, 154, 67, 498, 292, 163, 51, 344
561: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
516: 289, 154, 67, 498, 163, 190, 51, 288, 344, 679
531: 72, 227, 154, 67, 498, 163, 190, 51, 173, 917
614: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
634: 289, 72, 154, 67, 292, 163, 190, 51, 288, 173
632: 289, 72, 227, 154, 163, 190, 51, 173, 917, 707
638: 289, 72, 227, 89, 154, 67, 498, 163, 190, 173
679: 289, 72, 227, 154, 498, 163, 190, 51, 288, 173
676: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
674: 72, 227, 89, 154, 67, 498, 163, 190, 51, 173
672: 289, 72, 89, 154, 67, 498, 292, 163, 190, 288
655: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
644: 289, 72, 89, 67, 498, 292, 51, 288, 344, 207
641: 72, 227, 89, 154, 67, 498, 292, 163, 51, 344
640: 289, 72, 89, 154, 67, 498, 292, 190, 51, 344
747: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
743: 289, 72, 227, 154, 498, 292, 163, 190, 51, 173
762: 289, 72, 89, 154, 67, 498, 292, 163, 51, 344
767: 289, 72, 227, 89, 154, 67, 498, 292, 163, 288
713: 289, 72, 227, 154, 498, 163, 190, 51, 344, 207
719: 289, 72, 89, 154, 67, 498, 292, 190, 51, 344
731: 289, 72, 227, 89, 154, 67, 498, 292, 51, 344
823: 289, 72, 227, 89, 154, 67, 292, 163, 190, 288
826: 72, 227, 154, 67, 498, 292, 163, 51, 288, 207
800: 289, 72, 227, 89, 154, 67, 498, 292, 190, 288
785: 3, 4, 5, 6, 8, 11, 12, 13, 15, 18
887: 289, 72, 227, 89, 154, 67, 498, 292, 51, 344
864: 72, 498, 292, 163, 288, 344, 173, 917, 707, 55
869: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
875: 72, 227, 154, 498, 163, 190, 51, 173, 207, 707
859: 289, 72, 227, 154, 67, 498, 292, 163, 190, 344
858: 72, 227, 154, 498, 163, 51, 344, 173, 207, 679
861: 72, 227, 89, 154, 67, 163, 190, 51, 288, 207
832: 289, 227, 89, 154, 67, 498, 292, 163, 288, 173
959: 289, 72, 227, 67, 498, 292, 163, 190, 288, 173
952: 72, 227, 154, 498, 292, 163, 190, 51, 288, 173
946: 289, 72, 227, 89, 154, 67, 292, 163, 190, 288
929: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
931: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
926: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
906: 289, 72, 227, 154, 498, 292, 163, 190, 51, 344
1020: 289, 72, 89, 154, 67, 292, 163, 190, 51, 344
1003: 72, 227, 154, 498, 292, 163, 190, 288, 344, 207
990: 289, 72, 89, 67, 498, 292, 163, 190, 51, 344
982: 289, 72, 227, 89, 154, 498, 292, 163, 190, 288
960: 289, 227, 89, 154, 67, 498, 292, 163, 190, 288
1103: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
1097: 72, 227, 89, 154, 498, 292, 163, 190, 51, 207
1089: 289, 72, 227, 89, 154, 67, 498, 292, 163, 288
1115: 289, 72, 227, 89, 154, 67, 498, 292, 163, 288
1108: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
1110: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
1123: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
1149: 289, 72, 89, 154, 67, 498, 292, 163, 190, 344
1144: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
1051: 289, 72, 227, 89, 67, 498, 292, 163, 51, 344
1065: 289, 227, 154, 67, 498, 163, 190, 51, 173, 917
1081: 289, 72, 89, 154, 67, 498, 292, 163, 51, 344
1072: 72, 227, 154, 498, 292, 163, 190, 51, 173, 917
1238: 289, 72, 89, 67, 498, 292, 190, 51, 288, 173
1232: 289, 72, 227, 89, 154, 67, 498, 292, 163, 288
1272: 72, 227, 154, 67, 163, 190, 51, 173, 207, 707
1152: 289, 72, 227, 89, 67, 498, 292, 163, 190, 288
1163: 289, 72, 227, 89, 498, 292, 288, 344, 207, 679
1182: 289, 72, 227, 89, 67, 498, 292, 163, 190, 288
1210: 289, 89, 154, 498, 292, 163, 190, 51, 288, 173
1367: 289, 72, 227, 154, 67, 498, 292, 163, 190, 288
1365: 289, 72, 227, 154, 292, 163, 190, 51, 173, 917
1356: 289, 72, 227, 154, 163, 190, 51, 344, 173, 917
1346: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
1345: 289, 72, 89, 154, 67, 498, 292, 163, 190, 288
1399: 289, 72, 227, 89, 154, 498, 163, 190, 51, 173
1389: 289, 72, 154, 67, 498, 292, 163, 51, 288, 173
1386: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
1308: 72, 227, 89, 154, 67, 498, 163, 190, 51, 344
1281: 289, 72, 227, 89, 154, 67, 498, 292, 163, 51
1343: 72, 89, 154, 67, 498, 292, 163, 190, 288, 207
1318: 72, 89, 154, 163, 190, 51, 344, 207, 917, 55
1494: 289, 72, 89, 154, 67, 498, 292, 163, 190, 288
1476: 72, 227, 154, 67, 292, 163, 51, 173, 207, 679
1485: 89, 498, 292, 163, 190, 51, 344, 173, 207, 707
1483: 227, 89, 154, 67, 292, 163, 190, 51, 288, 173
