2: 1001, 187, 159, 993, 72, 1892, 997, 193, 1014, 999
3: 238, 154, 1098, 748, 1418, 603, 616, 2605, 418, 2668
4: 153, 511, 81, 65, 1713, 59, 229, 1072, 1014, 1061
5: 533, 424, 190, 429, 428, 1098, 229, 227, 709, 982
6: 288, 257, 55, 292, 157, 295, 67, 299, 314, 913
7: 289, 461, 291, 701, 349, 89, 285, 498, 523, 344
8: 701, 257, 306, 325, 55, 295, 67, 299, 333, 466
9: 288, 374, 2102, 67, 295, 679, 1904, 2106, 2094, 2092
10: 533, 1048, 207, 190, 217, 1400, 173, 227, 1090, 1515
11: 290, 257, 701, 291, 67, 161, 333, 299, 330, 302
12: 289, 461, 291, 292, 475, 544, 704, 89, 302, 464
13: 288, 289, 686, 461, 701, 306, 291, 257, 89, 302
14: 728, 1426, 868, 599, 735, 1412, 1244, 2786, 227, 7056
15: 851, 533, 441, 511, 206, 190, 857, 418, 227, 2531
16: 288, 289, 701, 55, 292, 295, 466, 300, 302, 498
17: 461, 291, 55, 295, 679, 298, 349, 333, 302, 318
18: 154, 511, 959, 234, 1249, 1412, 917, 982, 966, 439
20: 154, 772, 70, 190, 65, 1109, 603, 616, 227, 2671
21: 291, 257, 528, 294, 295, 349, 333, 89, 498, 344
22: 190, 923, 918, 500, 707, 198, 917, 2379, 1672, 779
23: 1426, 154, 190, 614, 562, 234, 599, 1412, 735, 857
24: 288, 461, 535, 701, 306, 292, 294, 296, 525, 349
25: 257, 306, 291, 701, 292, 349, 299, 333, 300, 318
26: 1358, 821, 924, 1339, 1338, 1412, 2343, 163, 843, 1360
27: 289, 55, 292, 157, 159, 89, 227, 72, 316, 285
28: 187, 98, 1886, 99, 599, 159, 67, 993, 1892, 877
29: 306, 701, 325, 528, 544, 295, 333, 464, 302, 344
30: 289, 686, 701, 291, 306, 292, 681, 704, 349, 466
31: 1001, 153, 187, 441, 154, 1713, 89, 1061, 1379, 75
32: 533, 424, 207, 65, 716, 163, 229, 199, 709, 2531
33: 154, 190, 234, 854, 65, 920, 1412, 163, 227, 226
34: 424, 154, 207, 429, 190, 65, 203, 159, 228, 227
35: 152, 154, 190, 854, 506, 188, 163, 418, 632, 227
36: 687, 1853, 412, 403, 230, 486, 377, 1672, 536, 498
