2: 238, 72, 89, 748, 1098, 418, 2605, 4316, 289, 1787
3: 418, 1098, 603, 748, 744, 1745, 70, 444, 2681, 162
4: 89, 67, 289, 1098, 227, 300, 292, 55, 333, 229
5: 2438, 13714, 3203, 12885, 10610, 2676, 8053, 17184, 2467, 7140
6: 475, 306, 331, 2179, 1613, 330, 527, 491, 605, 6626
7: 190, 173, 7708, 10609, 6350, 5116, 6348, 6445, 18573, 72
8: 67, 333, 498, 298, 302, 55, 701, 157, 316, 227
9: 1912, 401, 4987, 5573, 12702, 394, 4332, 1922, 9556, 397
10: 190, 173, 1090, 182, 65, 207, 1375, 1400, 217, 498
11: 67, 257, 333, 913, 301, 299, 310, 291, 285, 55
12: 190, 154, 65, 173, 229, 234, 220, 227, 533, 511
13: 89, 289, 288, 701, 157, 257, 461, 291, 1098, 525
14: 72, 51, 159, 59, 441, 187, 193, 1001, 429, 877
15: 72, 1098, 89, 56, 238, 6887, 6895, 6904, 1009, 1400
17: 3716, 6592, 5976, 9758, 10965, 11997, 12596, 12625, 14591, 14594
16: 289, 292, 67, 300, 333, 288, 190, 154, 498, 173
18: 3863, 5358, 529, 1305, 1309, 5507, 1009, 63, 968, 4036
21: 89, 333, 157, 291, 498, 349, 1098, 227, 525, 295
20: 3504, 11126, 11352, 603, 2668, 14665, 7031, 1180, 2673, 1185
23: 234, 190, 154, 441, 51, 599, 59, 173, 1098, 959
22: 250, 949, 3147, 2654, 16100, 1281, 2765, 4265, 245, 4275
25: 292, 157, 300, 227, 333, 298, 349, 291, 701, 466
24: 1090, 207, 1400, 1048, 424, 154, 190, 217, 173, 546
27: 190, 154, 173, 229, 65, 1090, 424, 207, 486, 1375
26: 926, 1358, 1369, 1360, 1044, 724, 843, 190, 706, 1527
29: 67, 157, 10822, 333, 291, 349, 298, 701, 525, 302
28: 1098, 67, 154, 190, 234, 159, 89, 4214, 70, 441
31: 1068, 1001, 89, 51, 157, 292, 187, 1080, 997, 154
30: 289, 227, 67, 475, 306, 292, 190, 511, 157, 377
34: 610, 903, 1705, 1700, 613, 986, 3019, 1833, 8837, 5082
35: 610, 903, 613, 3019, 1833, 11477, 1772, 8837, 2638, 3003
32: 89, 344, 12527, 289, 6591, 466, 4111, 1934, 292, 17613
33: 163, 234, 190, 1412, 854, 3481, 920, 1413, 2624, 154
38: 796, 1509, 2924, 3346, 6192, 6886, 6887, 6889, 6890, 6894
39: 89, 6875, 289, 3188, 67, 3190, 9, 292, 9263, 2041
36: 2959, 1853, 2850, 707, 1868, 498, 2214, 10299, 768, 6772
37: 12755, 3688, 2903, 10556, 1237, 1618, 2909, 6321, 2915, 1621
42: 292, 344, 300, 498, 257, 161, 327, 1060, 1785, 5656
43: 154, 1098, 89, 67, 498, 289, 173, 72, 292, 288
40: 72, 89, 67, 30, 4317, 1001, 1062, 289, 4318, 880
41: 707, 841, 918, 1527, 1274, 1339, 1522, 6264, 2379, 1337
46: 289, 67, 55, 295, 257, 157, 461, 318, 1098, 329
47: 190, 154, 229, 498, 173, 65, 486, 377, 220, 67
44: 603, 70, 748, 11128, 9766, 2158, 7693, 2149, 6582, 11201
45: 289, 67, 292, 55, 157, 291, 466, 1098, 257, 318
51: 707, 1412, 841, 1372, 959, 1044, 227, 176, 2343, 978
50: 154, 190, 716, 182, 72, 1375, 1098, 203, 1400, 486
49: 67, 292, 300, 55, 333, 157, 498, 190, 295, 154
48: 292, 333, 291, 349, 295, 701, 302, 461, 466, 227
55: 234, 14273, 614, 854, 2231, 4596, 856, 436, 18073, 1357
54: 89, 157, 300, 333, 701, 461, 295, 302, 257, 227
53: 89, 1434, 10822, 10128, 16612, 2543, 802, 6592, 9518, 464
52: 1539, 2850, 1180, 949, 779, 1185, 1181, 2959, 830, 537
59: 154, 486, 65, 173, 292, 1109, 89, 7916, 498, 229
58: 292, 461, 333, 227, 498, 157, 55, 701, 190, 378
57: 1185, 816, 2959, 227, 2850, 1181, 1853, 1868, 2214, 67
56: 1642, 14359
63: 1249, 72, 234, 154, 1372, 511, 498, 599, 2343, 229
62: 227, 1098, 182, 599, 498, 207, 486, 51, 159, 67
61: 227, 190, 154, 498, 67, 1098, 1412, 959, 65, 173
60: 12703, 238, 11712, 1098, 72, 1400, 154, 229, 207, 159
68: 9758, 6373, 5987, 5992, 15213, 10822, 11387, 12896, 11077, 1434
69: 154, 190, 70, 72, 418, 53, 64, 238, 486, 748
70: 377, 154, 498, 65, 198, 486, 230, 209, 511, 234
71: 1131, 2972, 726, 1216, 4670, 2151, 1998, 198, 924, 1044
64: 903, 292, 301, 295, 1556, 257, 1934, 157, 575, 1427
65: 371, 3078, 3928, 4177, 12951, 3927, 9187, 4747, 7756, 3092
66: 15601, 18603, 17890, 1799, 3941, 79, 9321, 1878, 1013, 2559
76: 190, 173, 7708, 10609, 6350, 5116, 6348, 6445, 18573, 72
77: 207, 190, 154, 1090, 533, 182, 65, 173, 1048, 716
78: 748, 418, 1098, 1745, 2667, 616, 2668, 2681, 7982, 1965
79: 288, 67, 300, 333, 295, 157, 227, 349, 55, 306
72: 289, 288, 349, 227, 461, 701, 498, 310, 299, 318
73: 6057, 13415, 2470, 189, 997, 30, 8910, 1502, 1013, 7642
74: 7109, 10931, 10917, 13440, 1133, 7150, 12356, 1705, 1700, 5822
75: 498, 190, 154, 227, 65, 316, 1098, 511, 291, 486
85: 234, 2358, 7046, 706, 8775, 1412, 230, 959, 1372, 2343
84: 707, 1372, 176, 732, 190, 952, 1810, 3470, 978, 3471
